word,is_living,fits_shoebox
SHELTER,no,no
SHEPHERD,yes,no
SHERIFF,yes,no
SHINGLE,no,yes
SHIP,no,no
SHIRT,no,no
SHOE,no,yes
SHOELACE,no,yes
SHOP,no,no
SHORE,no,no
SHORTCAKE,no,yes
SHORTS,no,no
SHOULDER,no,no
SHOVEL,no,no
SHOWER,no,no
SHRIMP,yes,yes
SHRINE,no,no
SHRUB,yes,no
SHUTTER,no,no
SIBLING,yes,no
SICKLE,no,no
SIDEWALK,no,no
SIDING,no,no
SIGN,no,no
SIGNATURE,no,yes
SILK,no,yes
SILVERWARE,no,yes
SINK,no,no
SIREN,no,yes
SIRLOIN,no,yes
SISTER,yes,no
SKATE,no,yes
SKELETON,no,no
SKETCH,no,yes
SKI,no,no
SKILLET,no,yes
SKIN,no,no
SKIRT,no,no
SKULL,no,no
SKUNK,yes,no
SKYSCRAPER,no,no
SLACKS,no,no
SLEEVE,no,yes
SLEIGH,no,no
SLIDE,no,no
SLIME,no,yes
SLOPE,no,no
SLUG,yes,yes
SMOG,no,no
SNACK,no,yes
SNAIL,yes,yes
SNAKE,yes,no
SNEAKER,no,yes
SNOB,yes,no
SNORKEL,no,yes
SOAP,no,yes
SOCIETY,no,no
SOCK,no,yes
SOCKET,no,yes
SODA,no,yes
SOFA,no,no
SOFTBALL,no,yes
SOLDIER,yes,no
SPACE,no,no
SPAGHETTI,no,yes
SPARROW,yes,yes
SPATULA,no,yes
SPHINX,ambiguous,no
SPICE,no,yes
SPIDER,yes,yes
SPINACH,no,yes
SPINE,no,no
SPIT,no,yes
SPONGE,no,yes
SPOOL,no,yes
SPOON,no,yes
SPOUSE,yes,no
SPRINKLE,no,yes
SPY,yes,no
SQUID,yes,ambiguous
SQUIRREL,yes,yes
STABLE,no,no
STADIUM,no,no
STAFF,no,no
STAGE,no,no
STAIRS,no,no
STAKE,no,yes
STALLION,yes,no
STAMP,no,yes
STAPLE,no,yes
STAPLER,no,yes
STAR,no,ambiguous
STATUE,no,no
STEAM,no,ambiguous
STEM,no,yes
STEP,no,no
STEREO,no,no
STETHOSCOPE,no,yes
STEW,no,yes
STEWARDESS,yes,no
STICKER,no,yes
STOCKING,no,yes
STOMACH,no,yes
STONE,no,yes
STOOL,no,no
STORE,no,no
STOVE,no,no
STRANGER,yes,no
STRAW,no,yes
STRAWBERRY,no,yes
STREAM,no,no
STREET,no,no
STRING,no,yes
STUDENT,yes,no
STUMP,no,no
STY,no,ambiguous
SUBMARINE,no,no
SUBURB,no,no
SUBWAY,no,no
SUGAR,no,yes
SUIT,no,no
SUITCASE,no,no
SUITE,no,no
SUMMIT,no,no
SUN,no,no
SUNRISE,no,no
SUNSET,no,no
SUPERMARKET,no,no
SUPERVISOR,yes,no
SUPPER,no,no
SURF,no,no
SURGEON,yes,no
SURVEY,no,yes
SUSPECT,yes,no
SWAMP,no,no
SWAN,yes,no
SWATTER,no,yes
SWEATER,no,no
SWIMMER,yes,no
SWING,no,no
SWITCH,no,yes
SWORD,no,no
SYRINGE,no,yes
SYRUP,no,yes
TABLE,no,no
TABLET,no,yes
TACK,no,yes
TAG,no,yes
TAIL,no,yes
TANGERINE,no,yes
TANK,no,no
TAPE,no,yes
TAPIOCA,no,yes
TAR,no,yes
TART,no,yes
TAVERN,no,no
TAXI,no,no
TEA,no,yes
TEACHER,yes,no
TEAM,no,no
TEAPOT,no,yes
TECHNICIAN,yes,no
TEENAGER,yes,no
TELEPHONE,no,yes
TELESCOPE,no,no
TELEVISION,no,no
TEMPLE,no,no
TENT,no,no
TERMINAL,no,no
TERMITE,yes,yes
TERRITORY,no,no
THERMOMETER,no,yes
THESAURUS,no,yes
THICKET,no,no
THIEF,yes,no
THIGH,no,no
THIMBLE,no,yes
THORN,no,yes
THREAD,no,yes
THRONE,no,no
THUMB,no,yes
TICK,yes,yes
TICKET,no,yes
TIDE,no,no
TIE,no,yes
TIGER,yes,no
TILE,no,yes
TIMBER,no,no
TOAD,yes,yes
TOAST,no,yes
TOASTER,no,yes
TOE,no,yes
TOENAIL,no,yes
TOILET,no,no
TOMATO,no,yes
TOMB,no,no
TOMBSTONE,no,no
TONGUE,no,yes
TOOL,no,yes
TOOTH,no,yes
TOOTHBRUSH,no,yes
TOOTHPASTE,no,yes
TORCH,no,yes
TORNADO,no,no
TORTOISE,yes,ambiguous
TOTE,no,yes
TOURIST,yes,no
TOWEL,no,no
TOWER,no,no
TOWN,no,no
TOY,no,yes
TRACTOR,no,no
TRAIN,no,no
TRAITOR,yes,no
TRANSPLANT,no,yes
TRASH,no,no
TRAY,no,yes
TREAD,no,yes
TREASURE,no,yes
TREAT,no,yes
TREE,yes,no
TRENCH,no,no
TRIANGLE,no,yes
TRIBE,no,no
TRICYCLE,no,no
TRIGGER,no,yes
TROMBONE,no,no
TROPHY,no,yes
TROUSERS,no,no
TROUT,yes,yes
TRUCK,no,no
TRUMPET,no,ambiguous
TUB,no,ambiguous
TUBA,no,no
TUBE,no,yes
TULIP,yes,yes
TUNA,yes,ambiguous
TUNNEL,no,no
TURKEY,yes,no
TURNIP,no,yes
TURTLE,yes,ambiguous
TUSK,no,ambiguous
TUTU,no,yes
TUXEDO,no,no
TWEEZERS,no,yes
TWIG,no,yes
TWIN,yes,no
TWINE,no,yes
TWISTER,no,no
TYPEWRITER,no,no
TYPIST,yes,no
ULCER,no,yes
UMBRELLA,no,no
UMPIRE,yes,no
UNCLE,yes,no
UNDERWEAR,no,yes
UNICORN,ambiguous,no
UNIFORM,no,no
UNIVERSE,no,no
UNIVERSITY,no,no
UTENSIL,no,yes
VACUUM,no,no
VAGRANT,yes,no
VALLEY,no,no
VALVE,no,yes
VAMPIRE,ambiguous,no
VAN,no,no
VASE,no,yes
VAULT,no,no
VEAL,no,yes
VEGETABLE,no,yes
VEHICLE,no,no
VEIN,no,yes
VELVET,no,yes
VENT,no,yes
VENUS,no,no
VESSEL,no,ambiguous
VEST,no,ambiguous
VET,yes,no
VETERAN,yes,no
VICTIM,yes,no
VICTOR,yes,no
VIDEO,no,yes
VIKING,yes,no
VILLAGE,no,no
VILLAIN,yes,no
VINE,yes,no
VINEGAR,no,yes
VIOLA,no,no
VIOLIN,no,no
VIRUS,ambiguous,yes
VISITOR,yes,no
VITAMIN,no,yes
VOLCANO,no,no
VOLLEYBALL,no,ambiguous
VOLUNTEER,yes,no
WAGON,no,no
WAIST,no,no
WAITER,yes,no
WAITRESS,yes,no
WALL,no,no
WALLET,no,yes
WALNUT,no,yes
WALRUS,yes,no
WAND,no,yes
WARDROBE,no,no
WAREHOUSE,no,no
WARRIOR,yes,no
WART,no,yes
WASHCLOTH,no,yes
WASHER,no,ambiguous
WASP,yes,yes
WATER,no,yes
WATERFALL,no,no
WAVE,no,no
WAX,no,yes
WEB,no,yes
WEED,yes,yes
WELL,no,no
WHALE,yes,no
WHEAT,no,yes
WHEEL,no,no
WHIP,no,ambiguous
WHISKERS,no,yes
WHISTLE,no,yes
WICK,no,yes
WIDOW,yes,no
WIFE,yes,no
WILDERNESS,no,no
WINDOW,no,no
WINDSHIELD,no,no
WINE,no,yes
WINGS,no,yes
WINNER,yes,no
WIRE,no,yes
WITCH,ambiguous,no
WITNESS,yes,no
WOLF,yes,no
WOMAN,yes,no
WORKER,yes,no
WORLD,no,no
WORM,yes,yes
WOUND,no,ambiguous
WRENCH,no,yes
WRIST,no,yes
WRITER,yes,no
XEROX,no,yes
YACHT,no,no
YARD,no,no
YARN,no,yes
YOKE,no,ambiguous
YOLK,no,yes
YOUTH,yes,no
ZEBRA,yes,no
ZIPPER,no,yes
ZOO,no,no
ZUCCHINI,no,yes
